,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
50,Cam Ev Eşyası,4.901607792540297,3.49511595005374,0.9884546548285966,0.9522599902817008,0.7543823382563097,0.5189786445983335,1.4908631720873755,0.44386155724809306,0.49224010870367874,-1.7902305587313427,1.7504356840697177,1.6915044245148114
51,Ceket (Erkek için),3.8465945396850554,4.956888382321378,0.15396721238771782,-0.1190327444473338,0.27452876214826283,-0.21193716220828662,-1.4249423343868473,1.297091372976289,2.7661126040468664,-0.2713731321070556,0.4006587000234152,0.8880526572581982
52,Ceket (Kadın için),4.162896853739206,6.408061482239247,0.7494106920250099,-1.50151190741733,-0.26867241944890097,0.0,0.0,0.0,1.5835491431193116,-0.8337925529219525,-2.291609602894751,0.2935603112768914
53,Cep Telefonu Görüşme Ücreti,-1.705621676837299,-2.850123662762516,-4.455814064340958,0.0037194991178379766,0.0,-0.016441547201861972,1.764720259197805,2.223095914065687,-0.022709221515859745,2.3601302626193865,5.400145474814888,5.020089266413841
54,Ceviz İçi,6.894523968008959,5.247948178976913,3.1686053174807993,1.6694732838878457,-0.708215697247383,-0.6540181481622165,1.696720105047178,1.6412064655638714,3.677620152223926,-0.16167185437938603,0.5437836985757727,-0.22612288922000956
55,Cilt ve Vücut Ürünleri,12.454713331545154,15.780598345340424,1.1818085774235376,-0.06850122477184417,0.6333799644793858,0.9283821816450821,1.2127025542867154,1.014369969606066,1.3124772022344189,-1.1168925478787561,1.2219107144404218,1.8334192209429667
56,Cipsler,5.879057089450779,2.3719082194919583,1.2657189813756187,1.3510973594589082,1.1326558297648504,3.560887730957618,-0.12566087209676668,0.48708814935867206,0.11843831823465933,2.00648584991745,0.024752218963963735,1.864393785682461
57,Dana Eti,4.481838497079393,7.0438275390779514,5.273641685913644,1.7676446993138528,4.087840560201861,1.0948595195397592,0.5395022231014401,-2.130935696322278,2.556785405049178,0.4234476162922496,12.646502725874488,4.585628195477653
58,Davlumbaz,2.1224739943817017,2.550194848811338,0.5234901643750289,2.397503668174217,0.2892167971334292,1.4752153628143194,1.9138048272559827,0.9584183041359884,0.48126738372535893,0.5192846659362038,1.1820226427867064,2.846270926905836
59,Deodorant,1.560477503995128,0.9917608321002191,-0.19051818309590018,-0.03901983790123298,-0.05363108637388425,0.8420886881151279,0.6678937779531102,0.6956123624079158,0.38234323126360437,-1.578523289626077,2.0716504395609903,3.004838636456819
