,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE E,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,Taze meyve ve sebze,İşlenmemiş gıda,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler,TÜFE
2025-01-31,104.56376164803162,104.15955610618424,104.04555423307907,104.5369907238552,103.99232770507903,102.85318388773875,102.84915155027524,106.90399617624735,102.69804309669424,96.23753140411753,100.13841795926845,103.6517943243667,104.54852003188665,103.91598015943072,104.69737964356335,101.65498380071578,101.71044734374046,101.10320966944927,101.10677086917738,103.6321554996317,101.2723893611172,106.96588905904952,104.35531440024346,103.41774404342355,113.2019232034016,100.00000000000009,121.19692721862427,103.870040951531
2025-02-01,105.07467286285166,104.47067181118774,104.2035483182953,105.08384706037884,104.4979914858703,103.12910326157316,103.4808254486782,108.92925256945254,103.27171342557904,96.65222285884852,100.35261272799352,103.68540954843323,105.3820726470932,104.67720024741828,105.5479547302097,101.881060026216,101.964977968803,101.41481867460097,101.26959106947763,104.01883327182237,101.30218358837216,107.00315247425706,104.34465580628344,103.23787598606381,114.73367684322088,100.00000000000009,121.3301797677303,104.35430993014104
2025-02-02,104.75922246426462,104.10932950092587,103.72898045016026,104.77153878406521,104.24207438508968,103.22518913232545,103.55983779955612,108.92445139575896,103.34624981878162,96.91829771011965,100.49570656328204,103.71773917953374,105.4070455462275,104.67720024741828,105.57880465975654,101.9907874374757,102.08672372715999,101.56380637448908,101.30068674132679,104.30242021315745,101.32900694190572,105.78282197804003,104.33399721232333,103.49203813241532,114.73367684322088,100.00000000000009,113.86667177054038,104.11110466613104
2025-02-03,104.8004188831822,104.19041521043908,103.82868695711988,104.8405364192482,104.33048298533576,103.3239650802221,103.66725618632476,108.91764109889482,103.45116490262048,97.21986726997186,100.7214626698829,103.87521306591519,105.42459880423621,104.67578584492391,105.60082169736216,102.13721219357573,102.25054741623784,101.87391888820495,101.34636872436894,104.55861532161506,101.35541168757686,105.80234216002336,104.42594507050444,103.49125383520095,114.73367684322088,100.00000000000009,113.81711402276926,104.19672561124511
2025-02-04,105.07441691311264,104.42810955073091,104.05968449214593,105.13834731599322,104.55473270913892,103.45935890355456,103.92829620413404,109.59246091385116,103.47807702793556,95.87199311793556,100.42521052089313,104.52611583627119,105.68514202933059,105.55350911490964,105.71612003621652,102.44998177206625,102.59436371973509,102.22041500934778,101.56251223352265,105.16856088304583,101.454017083479,105.89224612023541,104.75908417915166,103.42172352449161,114.73367684322088,100.00000000000009,113.88177210005583,104.41532644341255
2025-02-05,105.27850042372827,104.63634673416149,104.2624768152553,105.3384725653172,104.84872685297596,103.78716883923917,104.1792826374042,109.74171379651717,104.01177588261326,97.96290835882898,101.38339928584624,104.46410204664483,105.91195657634107,105.56780824757726,105.99294718074367,102.50954826285567,102.65168050174101,102.21298750640536,101.60586278925538,105.32458655987689,101.52910234613778,106.27697327936912,105.12726970177778,104.05443808611304,114.73367684322088,100.00000000000009,114.14991629942143,104.69947857871232
2025-02-06,105.63550511150864,104.98870587073765,104.35508538826576,105.69711550512898,105.15960080789553,103.97268475483968,104.5647940316769,110.1397643471413,104.71927925623216,97.88041599762056,101.35627093461184,104.48683789970598,107.1505607907921,110.24036132023247,106.42341847613427,102.63542961745587,102.78998276454753,102.2842374719454,101.73636837497034,105.55106875597383,101.56930272625796,106.31243634257545,105.22282998591469,103.87841711888908,115.83569676071707,100.00000000000009,114.20677753464682,104.99818321633585
2025-02-07,105.76850462051291,105.16770848702134,104.53997604264184,105.85277560102041,105.17870241267316,103.9971068408361,104.4966302628176,110.14903651131097,104.41408680518836,96.0248176971669,100.40911619072185,104.35788283312827,107.30947396162449,110.34623146405232,106.59481459823523,102.73030085090451,102.89575029618791,102.39679119385318,101.75188793241321,105.8397200289996,101.58900993532156,106.59628007354067,105.2171758766176,104.56717779266074,115.83569676071707,100.00000000000009,114.4467762265477,105.0173120487093
2025-02-08,105.92403909022184,105.3729258004353,104.74322079571851,106.02925327040023,105.2758320438163,104.09973040760268,104.5500031191755,110.14527927126903,104.3422732760182,95.18723331834909,99.94479742656493,104.22974984877106,107.52142146982865,110.52067022305629,106.81558927779027,102.90154949179897,103.0892899170162,102.58088300238553,101.78465110758509,106.38211362627234,101.60649261553652,106.81166227344042,105.34053900620242,105.07421882208718,115.83569676071707,100.00000000000009,114.43461594369367,105.11086080196944
2025-02-09,105.94972640066668,105.40987814899364,104.78875022809208,106.06055916760955,105.30607024423068,104.13397977205302,104.60045830002086,110.14117458210423,104.35625342277862,95.18723331834909,99.96748085101318,104.27286334884683,107.52910959578244,110.52067022305629,106.82508669908466,102.9986369380203,103.19784227311794,102.67700075307495,101.84075768192778,106.61447160546851,101.62449368300256,106.77837388388133,105.34347222026324,104.89736181481946,115.83569676071707,100.00000000000009,114.59649395690468,105.1405488284196
